,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
P_3_2_Wally_10_T1,Unfortunately~ he’s destroying everything around him.,16,Wally,Clogg,8_MO_EI,3_MC_EI,,,,,
P_3_2_Clogg_11_T1,Is he now?,17,Wally,Clogg,2_MC_EI,2_MO_EI,,,,,
P_3_2_Red_12_T1,Sadly.,18,Red,Clogg,8_MO_EI,2_MC_EI,,,,,
P_3_2_Red_12_T2,But~ our friend Darwin is up ahead of us!,19,Red,Clogg,2_MO_EI,2_MC_EI,,,,,
P_3_2_Red_12_T3,He used to be the King's advisor.,20,Red,Clogg,1_MO_EI,2_MC_EI,,,,,
P_3_2_Red_12_T4,We’re hoping he is able to come up with something to stop the Prince's behavior. ,21,Red,Clogg,11_MO_EC,2_MC_EI,,,,,
P_3_2_Clogg_13_T1,That doesn't sound like Prince Julius.,22,Red,Clogg,8_MC_EI,3_MO_EI,,,,,
P_3_2_Clogg_13_T2,Sure he has some spunk to him~ but he'd never -,23,Red,Clogg,8_MC_EI,4_MO_EI,,,,,
RedWally_Gasp,!!!,24,Red,Wally,5_MO_EI,6_MO_EI,,,,,
P_3_1a_Clogg_3_T1,...,25,Clogg,,3_MC_EI,,,,,,
,,,,,,,,,,,
$Title,OVillageRebuilt_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,1,Marcus,Brutus,6_MC,8_MO,,,,,
P_3_2_Julius_17_T1,I see you were able to put the village back together again. ,2,,Julius,,7_MO_EI,,,,,
P_3_2_Wally_18_T1,That’s right~  we were.,3,Wally,Julius,5_MO_EI,7_MC_EI,,,,,
P_3_2_Marcus_19_T1,You have no right to speak to the future King!,4,Wally,Marcus,8_MC_EI,4_MO,,,,,
P_3_2_Brutus_20_T1,Yeah...,5,Brutus,Marcus,6_MO,5_MC,,,,,
P_3_2_Brutus_20_T2,No right to speak after being spoken to.,6,Brutus,Marcus,7_MO,5_MC,,,,,
P_3_2_Marcus_21_T1,QUIET YOU BABOON!,7,Brutus,Marcus,3_MC,4_MO,,,,,
P_3_2_Clogg_22_T1,What is the meaning of this!?,8,Clogg,Marcus,3_MO_EI,3_MC,,,,,
P_3_2_Marcus_23_T1,The future King is simply doing what he is allowed to do! ,9,Clogg,Marcus,2_MC_EI,3_MO,,,,,
P_3_2_Julius_24_T1,That's right!,10,Clogg,Julius,2_MC_EI,2_MO_EI,,,,,
P_3_2_Julius_24_T2,I am the future King! ,11,Clogg,Julius,2_MC_EI,4_MO_EC,,,,,
P_3_2_Julius_24_T3,And this is my kingdom!,12,Clogg,Julius,2_MC_EI,2_MO_EI,,,,,
P_3_2_Clogg_25_T1,Your highness that isn't how-,13,Clogg,Julius,3_MO_EI,3_MC_EI,,,,,
P_3_2_Marcus_26_T1,SILENCE!!!,14,Clogg,Marcus,3_MC_EI,4_MO,,,,,
P_3_2_Marcus_26_T2,Do not lecture your future King!,15,Clogg,Marcus,2_MC_EI,5_MO,,,,,
P_3_2_Julius_27_T1,Enough!,16,Red,Julius,10_MC_EI,2_MO_EC,,,,,
P_3_2_Julius_27_T2,You know the rules.,17,Red,Julius,10_MC_EI,7_MO_EI,,,,,
P_3_2_Julius_27_T3,If you win~,18,Red,Julius,10_MC_EI,11_MO_EI,,,,,
P_3_2_Julius_27_T4,you can keep getting in my way and move forward.,19,Red,Julius,10_MC_EI,13_MO_EO,,,,,
P_3_2_Julius_27_T5,But~ If I beat you~,20,Red,Julius,10_MC_EI,14_MO_EI,,,,,
P_3_2_Julius_27_T6,you have to leave me alone and let me do what I want!,21,Red,Julius,10_MC_EI,7_MO_EI,,,,,
P_3_2_Wally_28_T1,Right!,22,Wally,Julius,5_MO_EI,9_MC_EI,,,,,
P_3_2_Red_29_T1,You’ve got this Explorer!,23,Red,Julius,3_MO_EC,7_MC_EI,,,,,
P_3_2_Red_29_T2,Show the Prince all that you've learned! ,24,Red,Julius,14_MO_EP,7_MC_EI,,,,,
P_3_2_Julius_30_T1,I've been practicing! ,25,Red,Julius,14_MC_EI,4_MO_EC,,,,,
P_3_2_Julius_30_T2,Prepare yourself!,26,Red,Julius,14_MC_EI,2_MO_EI,,,,,
,,,,,,,,,,,
$Title,OVillageDefeated_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_3_3_Julius_1_T1,Drats!,0,,Julius,,9_MO_EO,,,,,
P_3_3_Julius_1_T2,I lost again?!,1,,Julius,,12_MO_EO,,,,,
P_3_3_Red_2_T1,Good Job Explorer!,2,Red,Julius,4_MO_EI,12_MC_EI,,,,,
P_3_3_Red_2_T2,I knew you could do it!,3,Red,Julius,14_MO_EI,12_MC_EI,,,,,
P_3_3_Wally_3_T1,Amazing!,4,Wally,Julius,4_MO_EP,12_MC_EI,,,,,
P_3_3_Marcus_4_T1,How dare you make a monkey of the future King!,5,Marcus,Brutus,4_MO,7_MC,,,,,
P_3_3_Brutus_5_T1,Yawn…,6,Marcus,Brutus,5_MC,6_MO,,,,,
P_3_3_Brutus_5_T2,Dang...,7,Marcus,Brutus,5_MC,3_MO,,,,,
P_3_3_Julius_6_T1,I’ll win next time!,8,,Julius,,9_MO_EI,,,,,
P_3_3_Julius_6_T2,Just you wait!,9,,Julius,,6_MO_EI,,,,,
,,,,,,,,,,,
$Title,OVillageDefeated_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_3_3_Wally_7_T1,There they go again.,0,,Wally,,7_MO_EI,,,,,
P_3_3_Red_8_T1,It’s okay~,1,Red,Wally,7_MO_EI,8_MC_EI,,,,,
P_3_3_Red_8_T2,I’m sure we’ll see them again soon.,2,Red,Wally,10_MO_EI,8_MC_EI,,,,,
P_3_3_Clogg_9_T1,I see… So it really was the Prince. ,3,Red,Clogg,11_MC_EI,8_MO_EO,,,,,
P_3_3_Clogg_9_T2,My apologies for doubting you. ,4,Red,Clogg,11_MC_EI,9_MO_EI,,,,,
P_3_3_Red_10_T1,It's okay!,5,Red,Clogg,7_MO_EI,9_MC_EI,,,,,
P_3_3_Red_10_T2,It does seem a bit strange that a Prince would do this to their own kingdom.,6,Red,Clogg,9_MO_EI,9_MC_EI,,,,,
P_3_3_Clogg_11_T1,It makes me worry for the future of this kingdom. ,7,Red,Clogg,7_MC_EI,7_MO_EO,,,,,
P_3_3_Clogg_12_T1,Maybe it might be best if the tigers weren't rulers anymore.,8,Red,Clogg,5_MC_EI,2_MO_EI,,,,,
P_3_3_Red_13_T1,Hey don’t say that!,9,Red,Clogg,5_MO_EI,2_MC_EI,,,,,
P_3_3_Red_13_T2,We’re on a mission to help the Prince~ and stop this!,10,Red,Clogg,14_MO_EP,2_MC_EI,,,,,
P_3_3_Clogg_14_T1,I guess only time will tell. ,11,Red,Clogg,14_MC_EI,8_MO_EC,,,,,
P_3_3_Clogg_14_T2,Thank you for fixing my village.,12,Red,Clogg,14_MC_EI,5_MO_EI,,,,,
P_3_3_Clogg_14_T3,You may come and go as you please. ,13,Red,Clogg,11_MC_EI,5_MO_EC,,,,,
P_3_3_Red_15_T1,You’re very welcome! ,14,Red,Clogg,3_MO_EC,5_MC_EI,,,,,
P_3_3_Wally_16_T1,Let's move forward~ team!,15,Red,Wally,2_MC_EI,5_MO_EP,,,,,
P_3_3_Red_17_T1,Onward explorer!,16,Red,Wally,4_MO_EP,11_MC_EI,,,,,
,,,,,,,,,,,
$Title,SpiderIntro_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
B_1_1_Red_1_T1,Darwin!,0,Red,Darwin,11_MO_EI,10_MC_EO,,,,,
B_1_1_Wally_2_T1,There you are!,1,Wally,Darwin,6_MO_EI,10_MC_EO,,,,,
B_1_1_Wally_2_T2,We’ve been looking for you! ,2,Wally,Darwin,7_MO_EI,10_MC_EO,,,,,
B_1_1_Darwin_3_T1,Oh! ,3,Wally,Darwin,7_MC_EI,13_MO_EI,,,,,
B_1_1_Darwin_3_T2,Hey there friends! ,4,Wally,Darwin,7_MC_EI,11_MO_EC,,,,,
B_1_1_Darwin_3_T3,I’m sorry for umm...,5,Wally,Darwin,7_MC_EI,11_MO_EO,,,,,
B_1_1_Darwin_3_T4,running off without you... ,6,Wally,Darwin,7_MC_EI,12_MO_EI,,,,,
B_1_1_Darwin_3_T5,I just started remembering all of the good times I had here~,7,Wally,Darwin,13_MC_EI,7_MO_EO,,,,,
B_1_1_Darwin_3_T6,and I just couldn't stop myself!,8,Wally,Darwin,13_MC_EI,4_MO_EI,,,,,
B_1_1_Red_4_T1,That’s at least good to hear! All that matters is that we found you again.,9,Red,Wally,11_MO_EC,1_MC_EI,,,,,
B_1_1_Wally_5_T1,Agreed.,10,Red,Wally,11_MC_EI,4_MO_EI,,,,,
B_1_1_Darwin_6_T1,Well umm if it means anything…,11,Red,Darwin,1_MC_EI,11_MO_EO,,,,,
B_1_1_Darwin_6_T2,Taking that walk has reminded me of so many things that the Prince did when he was a cub!,12,Red,Darwin,1_MC_EI,8_MO_EI,,,,,
B_1_1_Darwin_6_T3,Hopefully it’ll ummm…,13,Red,Darwin,1_MC_EI,9_MO_EI,,,,,
B_1_1_Darwin_6_T4,remind him of the good heart he has!,14,Red,Darwin,1_MC_EI,2_MO_EC,,,,,
B_1_1_Wally_7_T1,Yeah about him…,15,Wally,Darwin,8_MO_EO,2_MC_EI,,,,,
B_1_1_Darwin_10_T1,There you are!,16,,Darwin,,4_MO_EI,,,,,
RedWally_Oh,Oh!,17,Red,Wally,5_MO_EI,6_MO_EO,,,,,
,,,,,,,,,,,
$Title,SpiderIntro_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
B_1_1_Julius_11_T1,Oh~,0,Darwin,Julius,2_MC_EI,1_MO_EI,,,,,
B_1_1_Julius_11_T2,it’s you again Darwin.,1,Darwin,Julius,6_MC_EI,11_MO_EI,,,,,
B_1_1_Darwin_12_T1,Listen Julius~ you don't have to do this…,2,Darwin,Julius,6_MO_EI,7_MC_EI,,,,,
B_1_1_Marcus_13_T1,Silence! ,3,Darwin,Marcus,6_MC_EI,4_MO,,,,,
B_1_1_Marcus_13_T2,You have no right to speak to the Prince!,4,Darwin,Marcus,6_MC_EI,9_MO,,,,,
B_1_1_Brutus_14_T1,Yeah...,5,Darwin,Brutus,6_MC_EI,2_MO,,,,,
B_1_1_Brutus_14_T2,what he said....,6,Darwin,Brutus,6_MC_EI,3_MO,,,,,
B_1_1_Julius_15_T1,Darwin! ,7,Darwin,Julius,12_MC_EI,7_MO_EI,,,,,
B_1_1_Julius_15_T2,This is my kingdom! I can do as I please! ,8,Darwin,Julius,12_MC_EI,2_MO_EC,,,,,
B_1_1_Julius_15_T3,I don’t need you to lecture me!,9,Darwin,Julius,12_MC_EI,13_MO_EO,,,,,
Marcus_Laugh,HA HA HA!!!,10,Marcus,Brutus,6_MO,8_MC,,,,,
B_1_1_Marcus_16_T2,That’s right!,11,Marcus,Brutus,2_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,12,Marcus,Brutus,6_MC,8_MO,,,,,
B_1_1_Red_18_T1,At least listen to what Darwin has to say!,13,Red,Julius,6_MO_EI,13_MC_EI,,,,,
B_1_1_Red_18_T2,He is your friend!,14,Red,Julius,7_MO_EI,13_MC_EO,,,,,
B_1_1_Darwin_19_T1,Julius...,15,Darwin,Julius,12_MO_EI,13_MC_EO,,,,,
B_1_1_Darwin_19_T2,do you remember when you were little and there was a festival in the Gorilla Village?,16,Darwin,Julius,1_MO_EI,13_MC_EO,,,,,
B_1_1_Julius_20_T1,…,17,Darwin,Julius,1_MC_EI,12_MC_EO,,,,,
B_1_1_Darwin_21_T1,The village was getting all decorated~,18,Darwin,Julius,2_MO_EI,12_MC_EO,,,,,
B_1_1_Darwin_21_T2,but there weren't enough villagers to help.,19,Darwin,Julius,7_MO_EO,12_MC_EO,,,,,
B_1_1_Julius_22_T1,Yeah...,20,Darwin,Julius,7_MC_EI,12_MO_EI,,,,,
B_1_1_Darwin_23_T1,And you took it upon yourself to help put the streamers up? ,21,Darwin,Julius,2_MO_EC,3_MC_EI,,,,,
B_1_1_Julius_24_T1,...,22,Darwin,Julius,2_MC_EI,3_MC_EI,,,,,
B_1_1_Darwin_25_T1,Remember how good it felt?,23,Darwin,Julius,2_MO_EI,3_MC_EI,,,,,
B_1_1_Darwin_25_T2,To help the villagers in your kingdom?,24,Darwin,Julius,4_MO_EI,3_MC_EI,,,,,
B_1_1_Julius_26_T1,Yeah…,25,Darwin,Julius,4_MC_EI,3_MO_EO,,,,,
B_1_1_Julius_26_T2,I do.,26,Darwin,Julius,4_MC_EI,3_MO_EI,,,,,
B_1_1_Marcus_27_T1,SILENCE!,27,Darwin,Marcus,6_MC_EI,4_MO,,,,,enlarge
B_1_1_RedDarwin_28_T1,Gasp!,28,Darwin,Red,6_MO_EI,5_MO_EI,,,,,
B_1_1_Marcus_31_T1,Your majesty!,29,,Marcus,,4_MO,,,,,
B_1_1_Marcus_31_T2,I must say that just because you helped out those commoners~,30,,Marcus,,5_MO,,,,,
B_1_1_Marcus_31_T3,doesn't mean you can’t do as you want!,31,,Marcus,,2_MO,,,,,
B_1_1_Marcus_31_T4,You helped them because you wanted to~,32,,Marcus,,7_MO,,,,,
B_1_1_Marcus_31_T5,but you can do whatever you want to their silly little village because you can!,33,,Marcus,,8_MO,,,,,
B_1_1_Marcus_31_T6,You are the future King!,34,,Marcus,,9_MO,,,,,
B_1_1_Marcus_31_T7,They should be grateful that you even paid that village any attention at all!,35,,Marcus,,5_MO,,,,,
B_1_1_Red_32_T1,Hey now! That’s not very nice!,36,Red,Marcus,6_MO_EI,5_MC,,,,,
B_1_1_Julius_33_T1,No they're right.,37,Red,Julius,6_MC_EI,7_MO_EI,,,,,
B_1_1_Julius_33_T2,This is my kingdom! I can do whatever I want!,38,Red,Julius,6_MC_EI,4_MO_EC,,,,,
B_1_1_Darwin_34_T1,Julius!,39,Darwin,Julius,12_MO_EI,13_MC_EI,,,,,
B_1_1_Darwin_34_T2,I don’t think-,40,Darwin,Julius,6_MO_EI,13_MC_EI,,,,,
B_1_1_Julius_35_T1,Silence! It doesn't matter what you think!,41,Darwin,Julius,6_MC_EI,13_MO_EI,,,,,
B_1_1_Julius_35_T2,...,42,Darwin,Julius,6_MC_EI,12_MC_EO,,,,,
B_1_1_Wally_36_T1,Your Highness…,43,Wally,Julius,7_MO_EI,12_MC_EO,,,,,
B_1_1_Julius_37_T1,NO!,44,Wally,Julius,2_MC_EI,7_MO_EI,,,,,shake
B_1_1_Julius_37_T2,IT DOESN'T MATTER! THIS IS MY KINGDOM!,45,Wally,Julius,6_MC_EI,15_MO_EC,,,,,
Marcus_Laugh,HA HA HA!!!!,46,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,47,Marcus,Brutus,6_MC,8_MO,,,,,
B_1_1_Darwin_40_T1,Julius! No!,48,Darwin,,12_MO_EI,,,,,,
B_1_1_Darwin_40_T2,Don't!,49,Darwin,,14_MO_EI,,,,,,
,,,,,,,,,,,
$Title,SpiderIntro_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
B_1_1_RedWally_41_T1,No!,0,Red,Wally,6_MO_EI,10_MO_EI,,,,,
B_1_1_Julius_43_T1,Have fun cleaning this up!,1,,Julius,,8_MO_EI,,,,,
,,,,,,,,,,,
$Title,SpiderIntro_1_p4,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh... ,1,Marcus,Brutus,6_MC,8_MO,,,,,
,,,,,,,,,,,
$Title,SpiderIntro_1_p5,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
B_1_1_Red_44_T1,Oh no! Not again!,0,Red,Wally,6_MO_EI,8_MC_EI,,,,,
B_1_1_Wally_45_T1,There’s no use getting worked up over it.,1,Red,Wally,6_MC_EI,10_MO_EI,,,,,
B_1_1_Wally_45_T2,The best we can do is to keep moving forward.,2,Red,Wally,11_MC_EI,5_MO_EP,,,,,
B_1_1_Red_46_T1,Sigh ,3,Red,Wally,11_MO_EC,5_MC_EI,,,,,
B_1_1_Red_46_T2,you’re right Wally. I just wish we could help him.,4,Red,Wally,1_MO_EI,5_MC_EI,,,,,
B_1_1_Red_46_T3,It seems like he doesn't have good role models for friends.,5,Red,Wally,8_MO_EI,7_MC_EI,,,,,
B_1_1_Wally_47_T1,You’re right about that Red.,6,Red,Wally,8_MC_EI,7_MO_EI,,,,,
B_1_1_Wally_47_T2,Let's start by getting this cleaned up.,7,Red,Wally,11_MC_EI,1_MO_EP,,,,,
B_1_1_Red_48_T1,Sounds like a plan! ,8,Red,Wally,14_MO_EI,1_MC_EI,,,,,
B_1_1_Red_48_T2,Alright Explorer you heard Wally!,9,Red,Wally,14_MO_EP,5_MC_EP,,,,,
B_1_1_Red_48_T3,Let's get this place all cleaned up!,10,Red,Wally,4_MO_EC,5_MC_EI,,,,,
B_1_1_RedWally_49_T1,OW!,11,Red,Wally,5_MC_EI,6_MC_EO,,,,,
B_1_1_Red_50_T1,What was that?,12,Red,Wally,5_MO_EI,6_MC_EI,,,,,
,,,,,,,,,,,
$Title,SpiderIntro_1_p6,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
B_1_1_Spindle_51_T1,OW OW OW!,0,,Spindle,,6_MO_EC,,,,,
B_1_1_Wally_52_T1,Hey are you okay!?,1,Wally,Spindle,7_MO_EI,6_MC_EI,,,,,
B_1_1_Spindle_53_T1,AHH! W-who are you?!,2,Wally,Spindle,7_MC_EI,8_MO_EI,,,,,
B_1_1_Spindle_53_T2,*eats bug*,3,Wally,Spindle,8_MC_EI,10_MO_EI,,,,,
B_1_1_Darwin_54_T1,Oh!,4,Darwin,Spindle,5_MO_EI,9_MC_EI,,,,,
B_1_1_Darwin_54_T2,Uhh... ,5,Darwin,Spindle,9_MO_EO,9_MC_EI,,,,,
B_1_1_Darwin_54_T3,my name is Darwin! And these are my friends…,6,Darwin,Spindle,2_MO_EI,9_MC_EI,,,,,
B_1_1_Darwin_54_T4,uhhhh...,7,Darwin,Spindle,7_MO_EO,9_MC_EI,,,,,
B_1_1_Wally_55_T1,Hey~ I’m Wally,8,Wally,Spindle,3_MC_EI,11_MC_EI,,,,,
B_1_1_Red_56_T1,And I’m Red!,9,Red,Spindle,1_MO_EI,11_MC_EI,,,,,
B_1_1_Red_56_T2,This is our friend~ they're an Explorer! ,10,Red,Spindle,2_MO_EP,11_MC_EI,,,,,
B_1_1_Red_56_T3,What is your name?,11,Red,Spindle,9_MO_EI,11_MC_EI,,,,,
B_1_1_Spindle_57_T1,OH! Uhh,12,Red,Spindle,9_MC_EI,4_MO_EI,,,,,
B_1_1_Spindle_57_T2,Sorry… my name is Spindle,13,Red,Spindle,9_MC_EI,4_MO_EO,,,,,
B_1_1_Darwin_58_T1,Are you alright Spindle? What happened?,14,Darwin,Spindle,6_MO_EI,11_MC_EI,,,,,
B_1_1_Spindle_59_T1,I heard shouting so I came over to see what was going on.,15,Darwin,Spindle,6_MC_EI,9_MO_EI,,,,,
B_1_1_Spindle_59_T2,I guess I got caught in the destruction...,16,Darwin,Spindle,6_MC_EI,9_MO_EO,,,,,
B_1_1_Spindle_59_T3,Ow…,17,Darwin,Spindle,6_MC_EI,6_MO_EC,,,,,
B_1_1_Red_60_T1,Oh you poor thing!,18,Red,Spindle,7_MO_EI,6_MC_EI,,,,,
B_1_1_Wally_61_T1,Is there anything we can do to help?,19,Wally,Spindle,10_MO_EI,6_MC_EI,,,,,
B_1_1_Spindle_62_T1,I don't know… umm…,20,Wally,Spindle,9_MC_EI,9_MO_EI,,,,,
B_1_1_Red_63_T1,I know!,21,Red,Spindle,12_MO_EI,9_MC_EI,,,,,
B_1_1_Red_63_T2,Wally~ ,22,Red,Spindle,2_MO_EI,9_MC_EI,,,,,
B_1_1_Red_63_T3,the Explorer~ ,23,Red,Spindle,2_MO_EP,9_MC_EI,,,,,
B_1_1_Red_63_T4,and I can help clean up this place and patch you up!,24,Red,Spindle,3_MO_EC,9_MC_EI,,,,,
B_1_1_Spindle_64_T1,Oh!,25,Red,Spindle,2_MC_EI,11_MO_EC,,,,,
B_1_1_Wally_65_T1,Yeah! Sounds like a good plan! ,26,Red,Wally,2_MC_EC,5_MO_EI,,,,,
B_1_1_Wally_65_T2,Also Darwin?,27,Red,Wally,2_MC_EI,9_MO_EI,,,,,
B_1_1_Darwin_66_T1,Yes?,28,Darwin,Wally,1_MO_EI,9_MC_EI,,,,,
B_1_1_Wally_67_T1,It looks like your story got to Julius a little bit!,29,Darwin,Wally,1_MC_EI,11_MO_EO,,,,,
B_1_1_Wally_67_T2,Would you be able to think of more stories to tell?,30,Darwin,Wally,7_MC_EI,11_MO_EI,,,,,
B_1_1_Darwin_68_T1,Hmmm.. ,31,Darwin,Wally,7_MO_EI,11_MC_EI,,,,,
B_1_1_Darwin_68_T2,I suppose so...,32,Darwin,Wally,9_MO_EI,1_MC_EI,,,,,
B_1_1_Darwin_68_T3,But with this mess it’s hard to jog my memory…,33,Darwin,Wally,9_MO_EO,1_MC_EI,,,,,
B_1_1_Red_69_T1,It’s okay!,34,Darwin,Red,9_MC_EO,1_MO_EI,,,,,
B_1_1_Red_69_T2,You think of stories while we clean up and help Spindle!,35,Darwin,Red,9_MC_EI,2_MO_EC,,,,,
B_1_1_Spindle_70_T1,Would you r-really do that for me?,36,Spindle,Red,4_MO_EI,2_MC_EI,,,,,
B_1_1_Spindle_70_T2,Ow..,37,Spindle,Red,6_MO_EC,7_MC_EI,,,,,
B_1_1_Red_71_T1,Of course Spindle!,38,Spindle,Red,9_MC_EI,7_MO_EI,,,,,
B_1_1_Red_71_T2,You rest while we take care of everything.,39,Spindle,Red,9_MC_EI,1_MO_EI,,,,,
B_1_1_Spindle_72_T1,Thank you so much!,40,Spindle,Red,11_MO_EI,2_MC_EI,,,,,
B_1_1_Spindle_72_T2,Ow...,41,Spindle,Red,6_MO_EC,7_MC_EI,,,,,
B_1_1_Darwin_73_T1,Okay!,42,Darwin,Red,2_MO_EI,11_MC_EI,,,,,
B_1_1_Darwin_73_T2,Sounds like a plan...,43,Darwin,Red,4_MO_EC,11_MC_EI,,,,,
B_1_1_Darwin_73_T3,I’ll... uh... go think some more...,44,Darwin,Red,7_MO_EO,1_MC_EI,,,,,
B_1_1_Wally_74_T1,Okay let's get started.,45,Wally,Red,4_MO_EP,1_MC_EP,,,,,
B_1_1_Red_75_T1,Right! ,46,Wally,Red,4_MO_EP,14_MO_EP,,,,,
,,,,,,,,,,,
$Title,SpindleQuips_1_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
B_1_2a_Spindle_2_T1,Ow… ,0,,Spindle,,6_MO_EC,,,,,
B_1_2a_Spindle_2_T2,let's start playing yes?,1,,Spindle,,11_MO_EC,,,,yes,
B_1_2a_Spindle_3_T1,Want to keep practicing?,2,,Spindle,,11_MO_EP,,,,,
B_1_2a_Spindle_3_T2,Ow…,3,,Spindle,,6_MO_EC,,,,yes,
B_1_2a_Spindle_4_T1,Practice makes perfect...,4,,Spindle,,11_MO_EP,,,,,
B_1_2a_Spindle_4_T2,Ow…,5,,Spindle,,6_MO_EC,,,,yes,
B_1_2a_Spindle_5_T1,You’ve got this... ,6,,Spindle,,4_MO_EP,,,,,
B_1_2a_Spindle_5_T2,Ow...,7,,Spindle,,6_MO_EC,,,,yes,
,,,,,,,,,,,
$Title,SpindleQuips_2_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
B_1_2b_Spindle_1_T1,H-hey there friend! ,0,,Spindle,,12_MO_EP,,,,,
B_1_2b_Spindle_1_T2,Do you want to play some more?,1,,Spindle,,2_MO_EP,,,,yes,
B_1_2b_Spindle_2_T1,OH! AH! What!? ,2,,Spindle,,13_MO_EP,,,,,
B_1_2b_Spindle_2_T2,*eats bug*,3,,Spindle,,14_MO_EP,,,,,
B_1_2b_Spindle_2_T3,…Sorry… you startled me for a second.,4,,Spindle,,2_MO_EP,,,,yes,
B_1_2b_Spindle_3_T1,N-nice to see you again friend! ,5,,Spindle,,2_MO_EC,,,,,
B_1_2b_Spindle_3_T2,Do you want to practice some more?,6,,Spindle,,2_MO_EP,,,,yes,
B_1_2b_Spindle_4_T1,Let’s p-play some more~ yes?,7,,Spindle,,12_MO_EP,,,,yes,
B_1_2b_Spindle_5_T1,OH! ,8,,Spindle,,13_MO_EP,,,,,
